"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"MDG_0000000025","PUBLISHED","2016","EUR","AZE","","","100","99.80000","","","State Statistical Committee of the Republic of Azerbaijan; 2017.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2004","EUR","AZE","","","96","95.90000","","","State Statistical Committee of the Republic of Azerbaijan; 2013.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2003","EUR","AZE","","","96","95.80000","","","State Statistical Committee of the Republic of Azerbaijan; 2013.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2002","EUR","AZE","","","94","94.00000","","","State Statistical Committee of the Republic of Azerbaijan; 2013.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2001","EUR","AZE","","","94","94.00000","","","State Statistical Committee of the Republic of Azerbaijan; 2013.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2016","SEAR","BGD","","","50","49.80000","","","Maternal Mortality and Health Care Survey 2016. Definition includes other cadres that is not in alignment with the standard definition"
"MDG_0000000025","PUBLISHED","2014","SEAR","BGD","","","42","42.10000","","","DHS 2014.Definition includes other cadres that is not in alignment with the standard definition"
"MDG_0000000025","PUBLISHED","2013","SEAR","BGD","","","34","34.40000","","","National Institute of Population Research and Training (NIPORT); 2014."
"MDG_0000000025","PUBLISHED","2005","EUR","BGR","","","99","99.40000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2004","EUR","BGR","","","99","99.40000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2006","EMR","BHR","","","98","97.50000","","","Ministry of Health [Bahrain]; 2007.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2005","EMR","BHR","","","98","97.50000","","","Ministry of Health [Bahrain]; 2006.  Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2004","AMR","BHS","","","98","98.00000","","","WHO/PAHO; 2006.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2003","AMR","BHS","","","99","99.00000","","","WHO/PAHO; 2005.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2002","AMR","BHS","","","99","99.00000","","","WHO/PAHO; 2004.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2006","EUR","BIH","","","99","99.40000","","","MICS 2006."
"MDG_0000000025","PUBLISHED","2006","EUR","BIH","","","100","99.90000","","","Federal Office of Statistics [Bosnia and Herzegovina]; 2011."
"MDG_0000000025","PUBLISHED","2005","EUR","BIH","","","100","99.90000","","","Federal Office of Statistics [Bosnia and Herzegovina]; 2006."
"MDG_0000000025","PUBLISHED","2004","EUR","BIH","","","100","99.90000","","","Federal Office of Statistics [Bosnia and Herzegovina]; 2006."
"MDG_0000000025","PUBLISHED","2003","EUR","BIH","","","100","99.90000","","","Federal Office of Statistics [Bosnia and Herzegovina]; 2006."
"MDG_0000000025","PUBLISHED","2007","EUR","BLR","","","100","99.90000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2006","EUR","BLR","","","100","99.90000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2005","EUR","BLR","","","100","99.90000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2008","AMR","BLZ","","","95","94.90000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2007","AMR","BLZ","","","91","90.70000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2018","AMR","BOL","","","72","71.50000","","","WHO/PAHO; 2019. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2012","AMR","BRA","","","99","99.00000","",""," DATASUS, MS/SVS/DASIS [Brazil]. Período: 2012; 2014.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2011","AMR","BRA","","","99","99.00000","",""," DATASUS, MS/SVS/DASIS [Brazil]. Período: 2011; 2013.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2009","AMR","BRA","","","99","98.90000","",""," DATASUS, MS/SVS/DASIS [Brazil]. Período: 2009; 2011.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2014","AMR","BRB","","","100","99.80000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2013","AMR","BRB","","","99","98.60000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2012","AMR","BRB","","","100","100.00000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2013","WPR","BRN","","","100","99.70000","","","Ministry of Health [Brunei Darussalam]; 2014.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2012","WPR","BRN","","","100","99.80000","","","Ministry of Health [Brunei Darussalam]. Health Information Booklet 2012; 2013.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2011","WPR","BRN","","","100","99.60000","","","Ministry of Health [Brunei Darussalam]. Health Information Booklet 2012; 2013.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2016","SEAR","BTN","","","89","89.00000","","","National Statistics Bureau [Bhutan]; 2017. Statistical Yearbook  2017.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2014","SEAR","BTN","","","89","89.00000","","","National Statistics Bureau [Bhutan]; 2017. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2013","SEAR","BTN","","","89","89.00000","","","National Statistics Bureau [Bhutan]; 2017. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2003","SEAR","BTN","","","56","56.10000","","","National Statistics Bureau [Bhutan]; 2004. IB plus delivery with an obstetric professional at home"
"MDG_0000000025","PUBLISHED","2017","AFR","BWA","","","100","99.80000","","","Statistics Botswana (CSO); 2019.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2015","AFR","BWA","","","100","99.70000","","","Statistics Botswana (CSO); 2017.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2014","AFR","BWA","","","100","99.50000","","","Statistics Botswana (CSO); 2017.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2002","AFR","BWA","","","97","96.50000","","","Statistics Botswana (CSO); 2012.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2001","AFR","BWA","","","92","92.00000","","","Statistics Botswana (CSO); 2012.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2010","AFR","CAF","","","40","40.00000","","","MICS 2010."
"MDG_0000000025","PUBLISHED","2007","AMR","CAN","","","99","98.80000","","","Statistics Canada; 2013. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2006","AMR","CAN","","","100","100.00000","","","Survey for years 2007-2006. Public Health Agency of Canada; 2009."
"MDG_0000000025","PUBLISHED","2005","AMR","CAN","","","99","98.80000","","","Statistics Canada; 2013. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2010","AMR","CHL","","","100","99.80000","","","Instituto Nacional de Estadísticas [Chile]; 2012."
"MDG_0000000025","PUBLISHED","2009","AMR","CHL","","","100","99.80000","","","Instituto Nacional de Estadísticas [Chile]; 2011."
"MDG_0000000025","PUBLISHED","2008","AMR","CHL","","","100","99.80000","","","Instituto Nacional de Estadísticas [Chile]; 2010."
"MDG_0000000025","PUBLISHED","2007","AMR","CHL","","","100","99.70000","","","Instituto Nacional de Estadísticas [Chile]. Estadísticas Vitales 2007; 2009."
"MDG_0000000025","PUBLISHED","2006","AMR","CHL","","","100","99.80000","","","Instituto Nacional de Estadísticas [Chile]. Estadísticas Vitales 2006; 2009."
"MDG_0000000025","PUBLISHED","2010","WPR","CHN","","","100","99.60000","","","National Health and Family Planning Commission of China (NHFPC); 2013. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2008","WPR","CHN","","","99","99.10000","","","National Health and Family Planning Commission of China (NHFPC); 2013. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2014","AFR","CMR","","","65","64.70000","","","MICS 2014."
"MDG_0000000025","PUBLISHED","2006","AFR","CMR","","","59","58.90000","","","MICS 2006. Definition includes other cadres that is not in alignment with the standard definition"
"MDG_0000000025","PUBLISHED","2014","AFR","COD","","","80","80.10000","","","DHS 2013-2014."
"MDG_0000000025","PUBLISHED","2015","AMR","COL","","","96","95.90000","","","DHS 2015."
"MDG_0000000025","PUBLISHED","2014","AMR","COL","","","99","98.90000","","","DANE [Colombia]. Estadísticas Vitales 2014; 2016."
"MDG_0000000025","PUBLISHED","2013","AMR","COL","","","99","98.70000","","","DANE [Colombia]. Estadísticas Vitales 2013; 2015."
"MDG_0000000025","PUBLISHED","2002","AMR","COL","","","95","94.50000","","","DANE [Colombia]. Estadísticas Vitales 2002; 2011."
"MDG_0000000025","PUBLISHED","2001","AMR","COL","","","93","93.10000","","","DANE [Colombia]. Estadísticas Vitales 2001; 2011."
"MDG_0000000025","PUBLISHED","2012","AFR","COM","","","82","82.20000","","","DHS/MICS 2012."
"MDG_0000000025","PUBLISHED","2017","AFR","CPV","","","92","92.40000","","","Ministério da Saúde e da Segurança Social [Cabo Verde]; 2018. Relatório Estatístico 2017."
"MDG_0000000025","PUBLISHED","2018","AMR","CRI","","","99","99.00000","","","Instituto Nacional de Estadística y Censos (INEC) [Costa Rica]; 2019."
"MDG_0000000025","PUBLISHED","2017","AMR","CRI","","","99","98.70000","","","Instituto Nacional de Estadística y Censos (INEC) [Costa Rica]; 2018."
"MDG_0000000025","PUBLISHED","2016","AMR","CRI","","","99","98.80000","","","Instituto Nacional de Estadística y Censos (INEC) [Costa Rica]; 2017."
"MDG_0000000025","PUBLISHED","2015","AMR","CRI","","","90","90.00000","",""," Ministerio de Salud [Ministry of Health, Costa Rica]; 2016. "
"MDG_0000000025","PUBLISHED","2002","AMR","CRI","","","99","98.50000","","","Instituto Nacional de Estadística y Censos (INEC) [Costa Rica]; 2004."
"MDG_0000000025","PUBLISHED","2001","AMR","CRI","","","98","98.00000","","","Instituto Nacional de Estadística y Censos (INEC) [Costa Rica]. Estadísticas Vitales 2001; 2003."
"MDG_0000000025","PUBLISHED","2007","AMR","CUB","","","100","99.90000","","","Ministerio de Salud Pública [Cuba]; 2016.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2005","AMR","CUB","","","100","99.90000","","","Ministerio de Salud Pública [Cuba]; 2016.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2004","AMR","CUB","","","100","99.90000","","","Ministerio de Salud Pública [Cuba]; 2012.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2010","EUR","CYP","","","99","98.60000","","","Republic of Cyprus; 2014.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2008","EUR","CYP","","","97","97.20000","","","Republic of Cyprus; 2011.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2007","EUR","CYP","","","98","98.30000","","","Republic of Cyprus; 2011.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2006","EUR","CZE","","","100","99.70000","","","Ústav zdravotnických informací a statistiky ?R [Czech Republic]; 2007.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2004","EUR","CZE","","","100","99.80000","","","Ústav zdravotnických informací a statistiky ?R [Czech Republic]; 2005.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2003","EUR","CZE","","","100","99.80000","",""," Ústav zdravotnických informací a statistiky ?R [Czech Republic]. Mother and Newborn 2003; 2004. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2007","EUR","DEU","","","98","98.40000","","","QUAG e.V. [Germany]. Qualitätsbericht 2012; 2014.  Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2005","EUR","DEU","","","98","98.20000","","","QUAG e.V. [Germany]. Qualitätsbericht 2012; 2014.  Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2004","EUR","DEU","","","98","98.20000","","","QUAG e.V. [Germany]. Qualitätsbericht 2012; 2014.  Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2011","AMR","DMA","","","100","100.00000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2010","AMR","DMA","","","100","100.00000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2011","EUR","DNK","","","99","98.50000","","","Sundhedsstyrelsen [Denmark]; 2012. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2010","EUR","DNK","","","99","98.50000","","","Sundhedsstyrelsen [Denmark]; 2012. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2012","AMR","DOM","","","99","98.80000","","","Oficina Nacional de Estadística (ONE) [Dominican Republic]. Estadísticas Vitales 2010-2014; 2016.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2011","AMR","DOM","","","99","98.70000","","","Oficina Nacional de Estadística (ONE) [Dominican Republic]. Estadísticas Vitales 2010-2014; 2016.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2011","AMR","ECU","","","90","89.70000","",""," Instituto Nacional de Estadística y Censos (INEC), Ecuador; 2018. "
"MDG_0000000025","PUBLISHED","2009","AMR","ECU","","","86","85.60000","",""," Instituto Nacional de Estadística y Censos (INEC), Ecuador; 2018. "
"MDG_0000000025","PUBLISHED","2008","AMR","ECU","","","84","84.00000","",""," Instituto Nacional de Estadística y Censos (INEC), Ecuador; 2018. "
"MDG_0000000025","PUBLISHED","2013","EUR","EST","","","99","99.40000","","","National Institute for Health Development [Estonia]; 2014.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2012","EUR","EST","","","99","99.30000","","","National Institute for Health Development [Estonia]; 2014.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2011","EUR","EST","","","99","99.40000","","","National Institute for Health Development [Estonia]; 2013.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2010","EUR","EST","","","99","99.30000","","","National Institute for Health Development [Estonia]; 2013.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2005","AFR","ETH","","","6","5.70000","","","DHS 2005. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2018","EUR","FIN","","","100","100.00000","","","National Institute for Health and Welfare (THL) [Finland]; 2019.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2016","EUR","FIN","","","100","99.90000","","","National Institute for Health and Welfare (THL) [Finland]; 2018.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2001","EUR","FIN","","","99","98.50000","","","National Institute for Health and Welfare (THL) [Finland]; 2010.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2000","EUR","FIN","","","98","98.40000","","","National Research and Development Centre for Welfare and Health [Finland]; 2005.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2015","WPR","FJI","","","100","99.90000","","","Ministry of Health [Fiji]; 2016.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2002","WPR","FJI","","","97","96.90000","","","Ministry of Health [Fiji]; 2007.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2001","WPR","FJI","","","98","98.40000","","","Ministry of Health [Fiji]; 2007.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2004","EUR","FRA","","","98","98.00000","","","Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2005.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2001","EUR","FRA","","","100","99.60000","",""," INSEE Première, Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2003.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2014","EUR","GEO","","","100","99.90000","",""," Ministry of Labour, Health and Social Affairs of Georgia; 2015. "
"MDG_0000000025","PUBLISHED","2013","EUR","GEO","","","100","99.90000","",""," Ministry of Labour, Health and Social Affairs of Georgia; 2014. "
"MDG_0000000025","PUBLISHED","2012","EUR","GEO","","","100","99.80000","",""," Ministry of Labour, Health and Social Affairs of Georgia; 2013. "
"MDG_0000000025","PUBLISHED","2011","EUR","GEO","","","100","99.80000","",""," Ministry of Labour, Health and Social Affairs of Georgia; 2012. "
"MDG_0000000025","PUBLISHED","2000","EUR","GEO","","","96","95.50000","",""," Ministry of Labour, Health and Social Affairs of Georgia; 2011.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2017","AFR","GHA","","","78","78.10000","","","DHS 2017: Maternal Health Survey 2017."
"MDG_0000000025","PUBLISHED","2011","AFR","GHA","","","67","67.20000","","","MICS 2011."
"MDG_0000000025","PUBLISHED","2008","AFR","GHA","","","55","54.70000","","","DHS 2008."
"MDG_0000000025","PUBLISHED","2014","AFR","GNB","","","45","45.00000","","","MICS 2014. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2010","AFR","GNB","","","43","43.00000","","","MICS 2010. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2011","AFR","GNQ","","","68","68.30000","","","DHS 2011. Definition includes other cadres that is not in alignment with the standard definition"
"MDG_0000000025","PUBLISHED","2005","EUR","GRC","","","100","99.97000","","","Hellenic Statistical Authority statistical output (provided during SDG Country Consultation)No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2004","EUR","GRC","","","100","99.97000","","","Hellenic Statistical Authority statistical output (provided during SDG Country Consultation)No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2002","EUR","GRC","","","100","99.96000","","","Hellenic Statistical Authority statistical output (provided during SDG Country Consultation)No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2000","AMR","GRD","","","100","100.00000","","","WHO/PAHO; 2002.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2016","AMR","GTM","","","70","69.80000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2014","AMR","GTM","","","67","67.00000","","","PAHO Database; 2018. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2006","AMR","GUY","","","97","96.60000","","","Bureau of Statistics [Guyana]; 2010.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2005","AMR","GUY","","","97","96.70000","","","Bureau of Statistics [Guyana]; 2010.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2004","AMR","GUY","","","96","95.90000","","","Bureau of Statistics [Guyana]; 2010.No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2017","AMR","HND","","","74","74.00000","","","WHO/PAHO; 2018.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2008","EUR","HRV","","","100","99.90000","","","Croatian Bureau of Statistics; 2011."
"MDG_0000000025","PUBLISHED","2006","EUR","HRV","","","100","99.90000","","","Croatian Bureau of Statistics; 2011."
"MDG_0000000025","PUBLISHED","2005","EUR","HRV","","","100","99.90000","","","Croatian Bureau of Statistics; 2011."
"MDG_0000000025","PUBLISHED","2013","EUR","HUN","","","99","99.10000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2016. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2011","EUR","HUN","","","99","99.00000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2016. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2010","EUR","HUN","","","99","99.10000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2017","SEAR","IDN","","","93","93.25000","","","Badan Pusat Statistik (BPS) [Statistics Indonesia]; 2017."
"MDG_0000000025","PUBLISHED","2016","SEAR","IDN","","","93","92.60000","","","Badan Pusat Statistik (BPS) [Statistics Indonesia]; 2016."
"MDG_0000000025","PUBLISHED","2012","SEAR","IDN","","","83","83.10000","","","DHS 2012. Definition includes other cadres that is not in alignment with the standard definition"
"MDG_0000000025","PUBLISHED","2007","SEAR","IDN","","","73","73.00000","","","DHS 2007. Definition includes other cadres that is not in alignment with the standard definition"
"MDG_0000000025","PUBLISHED","2008","EUR","IRL","","","100","99.80000","",""," Health Research and Information Division, the Economic and Social Research Institute (ESRI) [Ireland]; 2010.  Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2007","EUR","IRL","","","100","99.70000","",""," Health Research and Information Division, the Economic and Social Research Institute (ESRI) [Ireland]; 2009.  Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2005","EUR","IRL","","","100","99.70000","",""," Health Research and Information Division, the Economic and Social Research Institute (ESRI) [Ireland]. Perinatal Statistics Report 2005; 2008.  Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2018","EMR","IRQ","","","96","95.60000","","","MICS 2018."
"MDG_0000000025","PUBLISHED","2012","EMR","IRQ","","","70","70.40000","","","Shabila NP. BMC Pregnancy Childbirth; 2017.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2011","EMR","IRQ","","","91","90.90000","","","MICS 2011."
"MDG_0000000025","PUBLISHED","2007","EMR","IRQ","","","80","79.70000","","","Survey for years 2006-2007. IFHS 2006/7."
"MDG_0000000025","PUBLISHED","2005","EUR","ISL","","","99","99.00000","","","Directorate of Health [Iceland]; 2017.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2004","EUR","ISL","","","99","99.40000","","","Directorate of Health [Iceland]; 2017.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2003","EUR","ISL","","","99","99.40000","","","Directorate of Health [Iceland]; 2017.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2006","EUR","ITA","","","100","99.80000","","","Direzione Generale del Sistema Informativo – Ufficio di Statistica [Italy]; 2009.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2004","EUR","ITA","","","100","99.80000","","","Direzione Generale del Sistema Informativo – Ufficio di Statistica [Italy]; 2007.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2003","EUR","ITA","","","100","99.60000","","","Direzione Generale del Sistema Informativo – Ufficio di Statistica [Italy]; 2005.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2017","WPR","JPN","","","100","99.90000","",""," e-stat, National Statistics Center [Japan]; 2018.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2015","WPR","JPN","","","100","99.90000","",""," e-stat, National Statistics Center [Japan]; 2016.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2014","WPR","JPN","","","100","99.80000","",""," e-stat, National Statistics Center [Japan]; 2015.Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2018","EUR","KAZ","","","100","99.90000","","","Ministry of Healthcare of the Republic of Kazakhstan. Country consultation Dec 2019; 2019. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2016","EUR","KAZ","","","100","99.90000","","","Ministry of Healthcare of the Republic of Kazakhstan. Country consultation Dec 2019; 2019. Includes institutional births that occurred at a health facility"
"MDG_0000000025","PUBLISHED","2015","EUR","KAZ","","","99","99.40000","","","MICS 2015."
"MDG_0000000025","PUBLISHED","2003","EUR","KAZ","","","99","99.40000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2002","EUR","KAZ","","","99","98.90000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2001","EUR","KAZ","","","99","98.50000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
"MDG_0000000025","PUBLISHED","2000","EUR","KAZ","","","98","98.30000","",""," TransMonEE, UNICEF Europe and Central Asia Regional Office; 2012. No / unclear definition of the cadres included"
