Geographic area	Indicator	Sex	TIME_PERIOD	OBS_VALUE	Unit multiplier	Unit of measure	Observation Status	Observation confidentaility	LOWER_BOUND	UPPER_BOUND	WGTD_SAMPL_SIZE	OBS_FOOTNOTE	SERIES_FOOTNOTE	DATA_SOURCE	SOURCE_LINK	CUSTODIAN	Time period activity related to when the data are collected	REF_PERIOD	COVERAGE_TIME	Current age
Afghanistan	Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis)	Total	2020	87	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Afghanistan	"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"	Total	2020	43	Units	%	Estimated value	Free				"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year."		"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Total
Afghanistan	Percentage of surviving infants who received the third dose of hep B-containing vaccine	Total	2020	70	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Afghanistan	Percentage of surviving infants who received the third dose of Hib-containing vaccine	Total	2020	70	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Afghanistan	Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth	Total	2020	38	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Afghanistan	Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)	Total	2020	68	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Afghanistan	Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine	Total	2020	65	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Afghanistan	Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used)	Total	2020	62	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis)	Total	2020	79	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Africa	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2020	79	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2020	72	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2020	68	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2020	71	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the third dose of hep B-containing vaccine	Total	2020	72	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received yellow fever- containing vaccine (for countries at risk and where the vaccine is in the national schedule)	Total	2020	44	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the third dose of Hib-containing vaccine	Total	2020	72	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"	Total	2020	36	Units	%	Estimated value	Free				"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year."		"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Total
Africa	Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth	Total	2020	6	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Africa	Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used)	Total	2020	53	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)	Total	2020	68	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the first dose of rubella-containing vaccine	Total	2020	36	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Africa	Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine	Total	2020	71	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Infant mortality rate	Female	2019	7.65944226728669		Deaths per 1000 live births	Normal value		7.11564284081835	8.22838919555463				UN_IGME						Total
Albania	Under-five mortality rate	Female	2019	8.8476292809129		Deaths per 1000 live births	Normal value		8.24384182295372	9.48930482694298				UN_IGME						Total
Albania	Child mortality rate (aged 1-4 years)	Female	2019	1.20039900520869		Deaths per 1000 children aged 1	Normal value		1.10199859284772	1.29648063962348				UN_IGME						Total
Albania	Infant mortality rate	Male	2019	9.52128622483572		Deaths per 1000 live births	Normal value		8.88917129482395	10.2330604683806				UN_IGME						Total
Albania	Under-five mortality rate	Male	2019	10.471314215869		Deaths per 1000 live births	Normal value		9.77847650640473	11.2451274805198				UN_IGME						Total
Albania	Child mortality rate (aged 1-4 years)	Male	2019	0.95848612603211		Deaths per 1000 children aged 1	Normal value		0.880994481502473	1.0483089801738				UN_IGME						Total
Albania	Infant mortality rate	Total	2019	8.61427894660596		Deaths per 1000 live births	Normal value		8.06474253967334	9.21139287772087				UN_IGME						Total
Albania	Under-five mortality rate	Total	2019	9.68240657748287		Deaths per 1000 live births	Normal value		9.06815370818009	10.3489643509903				UN_IGME						Total
Albania	Child mortality rate (aged 1-4 years)	Total	2019	1.07740873021983		Deaths per 1000 children aged 1	Normal value		1.0115692137784	1.14814751107607				UN_IGME						Total
Albania	Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis)	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Albania	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2019	95	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of surviving infants who received the third dose of hep B-containing vaccine	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Albania	"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"	Total	2019	96	Units	%	Estimated value	Free				"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year."		"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Total
Albania	Percentage of surviving infants who received the first dose of rubella-containing vaccine	Total	2019	95	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of surviving infants who received the third dose of Hib-containing vaccine	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)	Total	2019	96	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Albania	Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Infant mortality rate	Female	2019	18.5916165910953		Deaths per 1000 live births	Normal value		17.9648714043755	19.240550906639				UN_IGME						Total
Algeria	Under-five mortality rate	Female	2019	21.8137933120622		Deaths per 1000 live births	Normal value		21.0909962584449	22.5611176969476				UN_IGME						Total
Algeria	Child mortality rate (aged 1-4 years)	Female	2019	3.2860811223846		Deaths per 1000 children aged 1	Normal value		3.17241305751914	3.40372232449645				UN_IGME						Total
Algeria	Infant mortality rate	Male	2019	21.2538794239706		Deaths per 1000 live births	Normal value		20.5617793852591	21.97278206694				UN_IGME						Total
Algeria	Under-five mortality rate	Male	2019	24.6237330095045		Deaths per 1000 live births	Normal value		23.830353494604	25.4473813738725				UN_IGME						Total
Algeria	Child mortality rate (aged 1-4 years)	Male	2019	3.44743162582056		Deaths per 1000 children aged 1	Normal value		3.32949628112972	3.56986653380523				UN_IGME						Total
Algeria	Infant mortality rate	Total	2019	19.9548665714491		Deaths per 1000 live births	Normal value		19.3138656801064	20.6191957170455				UN_IGME						Total
Algeria	Under-five mortality rate	Total	2019	23.2561681158753		Deaths per 1000 live births	Normal value		22.5133795302874	24.0259459886904				UN_IGME						Total
Algeria	Child mortality rate (aged 1-4 years)	Total	2019	3.368519909769		Deaths per 1000 children aged 1	Normal value		3.2625258359663	3.47847359959217				UN_IGME						Total
Algeria	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2019	91	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis)	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Algeria	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2019	96	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2019	91	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2019	80	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"	Total	2019	77	Units	%	Estimated value	Free				"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year."		"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Total
Algeria	Percentage of surviving infants who received the third dose of hep B-containing vaccine	Total	2019	91	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth	Total	2019	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Algeria	Percentage of surviving infants who received the third dose of Hib-containing vaccine	Total	2019	91	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine	Total	2019	94	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)	Total	2019	91	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Algeria	Percentage of surviving infants who received the first dose of rubella-containing vaccine	Total	2019	80	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis)	Total	2020	68	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Americas	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2020	88	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2020	82	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2020	85	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2020	81	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the first dose of rubella-containing vaccine	Total	2020	85	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the third dose of hep B-containing vaccine	Total	2020	82	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the third dose of Hib-containing vaccine	Total	2020	81	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received yellow fever- containing vaccine (for countries at risk and where the vaccine is in the national schedule)	Total	2020	58	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth	Total	2020	60	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Americas	"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"	Total	2020	73	Units	%	Estimated value	Free				"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year."		"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Total
Americas	Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used)	Total	2020	71	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)	Total	2020	76	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Americas	Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine	Total	2020	82	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Infant mortality rate	Female	2019	2.55545069782505		Deaths per 1000 live births	Normal value		0.723040738416972	9.47126380804968				UN_IGME						Total
Andorra	Under-five mortality rate	Female	2019	2.64600613287056		Deaths per 1000 live births	Normal value		0.750384403326671	9.81041972916405				UN_IGME						Total
Andorra	Child mortality rate (aged 1-4 years)	Female	2019	0.0901032478420327		Deaths per 1000 children aged 1	Normal value		0.0255616863164498	0.337871396041495				UN_IGME						Total
Andorra	Infant mortality rate	Male	2019	3.09194085037301		Deaths per 1000 live births	Normal value		0.885138356538008	11.5196837594833				UN_IGME						Total
Andorra	Under-five mortality rate	Male	2019	3.27383253591556		Deaths per 1000 live births	Normal value		0.937641694886118	12.1774845754279				UN_IGME						Total
Andorra	Child mortality rate (aged 1-4 years)	Male	2019	0.178053835451275		Deaths per 1000 children aged 1	Normal value		0.0506047456380887	0.672691376407447				UN_IGME						Total
Andorra	Infant mortality rate	Total	2019	2.83160690998396		Deaths per 1000 live births	Normal value		0.809123189585287	10.4693681143006				UN_IGME						Total
Andorra	Under-five mortality rate	Total	2019	2.96692873808424		Deaths per 1000 live births	Normal value		0.847790996471529	10.9696967535925				UN_IGME						Total
Andorra	Child mortality rate (aged 1-4 years)	Total	2019	0.135706094425148		Deaths per 1000 children aged 1	Normal value		0.0386991192426744	0.505622184127624				UN_IGME						Total
Andorra	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2020	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2020	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Percentage of surviving infants who received the third dose of hep B-containing vaccine	Total	2020	98	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2020	98	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2020	99	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Percentage of surviving infants who received the first dose of rubella-containing vaccine	Total	2020	98	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Percentage of surviving infants who received the third dose of Hib-containing vaccine	Total	2020	98	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Andorra	Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth	Total	2016	94	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Andorra	"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"	Total	2020	93	Units	%	Estimated value	Free				"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year."		"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Total
Andorra	Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)	Total	2020	96	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Infant mortality rate	Female	2019	44.8510454726021		Deaths per 1000 live births	Normal value		23.6760157565515	77.3375802526749				UN_IGME						Total
Angola	Under-five mortality rate	Female	2019	68.7266298524796		Deaths per 1000 live births	Normal value		31.7441333242852	128.292820339752				UN_IGME						Total
Angola	Child mortality rate (aged 1-4 years)	Female	2019	25.0917368514028		Deaths per 1000 children aged 1	Normal value		8.13995555510126	55.3230025366656				UN_IGME						Total
Angola	Infant mortality rate	Male	2019	55.2507196289459		Deaths per 1000 live births	Normal value		29.294301200551	95.3887598181368				UN_IGME						Total
Angola	Under-five mortality rate	Male	2019	80.4362123562242		Deaths per 1000 live births	Normal value		37.156923808328	149.899343682417				UN_IGME						Total
Angola	Child mortality rate (aged 1-4 years)	Male	2019	26.6267055316544		Deaths per 1000 children aged 1	Normal value		7.97501512392502	60.7395890654641				UN_IGME						Total
Angola	Infant mortality rate	Total	2019	50.1801546190397		Deaths per 1000 live births	Normal value		26.662210184391	86.4076363155812				UN_IGME						Total
Angola	Under-five mortality rate	Total	2019	74.6867100621452		Deaths per 1000 live births	Normal value		34.5501893755812	139.323654001037				UN_IGME						Total
Angola	Child mortality rate (aged 1-4 years)	Total	2019	25.8012670118261		Deaths per 1000 children aged 1	Normal value		8.10405111614733	57.920818728885				UN_IGME						Total
Angola	Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis)	Total	2020	58	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Under 1 year old
Angola	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2020	61	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2020	51	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2020	44	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2020	51	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received yellow fever- containing vaccine (for countries at risk and where the vaccine is in the national schedule)	Total	2020	30	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the third dose of hep B-containing vaccine	Total	2020	47	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the third dose of Hib-containing vaccine	Total	2020	47	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV)	Total	2020	47	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used)	Total	2020	39	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule"	Total	2020	41	Units	%	Estimated value	Free				"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year."		"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						Total
Angola	Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine	Total	2020	43	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Angola	Percentage of surviving infants who received the first dose of rubella-containing vaccine	Total	2020	44	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Antigua and Barbuda	Infant mortality rate	Female	2019	5.33619747347301		Deaths per 1000 live births	Normal value		3.73580779247968	7.53610871287991				UN_IGME						Total
Antigua and Barbuda	Under-five mortality rate	Female	2019	6.06973822367398		Deaths per 1000 live births	Normal value		4.25408640657876	8.58037408163189				UN_IGME						Total
Antigua and Barbuda	Child mortality rate (aged 1-4 years)	Female	2019	0.739479380200414		Deaths per 1000 children aged 1	Normal value		0.516449422913323	1.05038852790922				UN_IGME						Total
Antigua and Barbuda	Infant mortality rate	Male	2019	6.22107078760078		Deaths per 1000 live births	Normal value		4.35268276470087	8.81988018149242				UN_IGME						Total
Antigua and Barbuda	Under-five mortality rate	Male	2019	7.10452222174855		Deaths per 1000 live births	Normal value		4.97359228339975	10.0837059848715				UN_IGME						Total
Antigua and Barbuda	Child mortality rate (aged 1-4 years)	Male	2019	0.895848081275019		Deaths per 1000 children aged 1	Normal value		0.627010583242926	1.27367669046493				UN_IGME						Total
Antigua and Barbuda	Infant mortality rate	Total	2019	5.79041079729217		Deaths per 1000 live births	Normal value		4.0637776119997	8.19104133228958				UN_IGME						Total
Antigua and Barbuda	Under-five mortality rate	Total	2019	6.60651582997947		Deaths per 1000 live births	Normal value		4.63652961129236	9.3454931126982				UN_IGME						Total
Antigua and Barbuda	Child mortality rate (aged 1-4 years)	Total	2019	0.820858138515623		Deaths per 1000 children aged 1	Normal value		0.575089033230919	1.16398603815741				UN_IGME						Total
Antigua and Barbuda	Percentage of surviving infants who received the first dose of DTP-containing vaccine	Total	2020	98	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Antigua and Barbuda	Percentage of surviving infants who received the third dose of DTP-containing vaccine	Total	2020	96	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Antigua and Barbuda	Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine	Total	2020	95	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Antigua and Barbuda	Percentage of surviving infants who received the first dose of measles-containing vaccine	Total	2020	89	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
Antigua and Barbuda	Percentage of surviving infants who received the first dose of rubella-containing vaccine	Total	2020	89	Units	%	Estimated value	Free						"WHO/UNICEF estimates of national immunization coverage, 2020 revision"						12 to 23 months old
